Título,Ano,Nota IMDb,Link,Gêneros,Sinopse,Elenco Principal
Viver,1952,8.3,https://www.imdb.com/pt/title/tt0044741/?ref_=chttp_i_95,N/A,"Depois de descobrir que tem câncer terminal, um burocrata tenta encontrar um sentido para sua vida.","Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori"
Brilho Eterno de uma Mente sem Lembranças,2004,8.3,https://www.imdb.com/pt/title/tt0338013/?ref_=chttp_i_96,N/A,"Quando sua relaçao se volta complicada, um casal tenta um procedimento médico para que suas memorias sejam apagadas.","Jim Carrey, Kate Winslet, Tom Wilkinson"
Incêndios,2010,8.3,https://www.imdb.com/pt/title/tt1255953/?ref_=chttp_i_97,N/A,Os gêmeos viajam para o Oriente Médio para descobrir sua história familiar e cumprir os últimos desejos de sua mãe.,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette"
Se Meu Apartamento Falasse,1960,8.3,https://www.imdb.com/pt/title/tt0053604/?ref_=chttp_i_98,N/A,"Um homem tenta subir na empresa permitindo que seus executivos usem seu apartamento para encontros, mas surgem complicações e um romance próprio.","Jack Lemmon, Shirley MacLaine, Fred MacMurray"
2001: Uma Odisséia no Espaço,1968,8.3,https://www.imdb.com/pt/title/tt0062622/?ref_=chttp_i_99,N/A,"Trás descobrir um misterioso artefato na superfície da Lua, a humanidade tenta encontrar seus origens com a ajuda da inteligença do ordernador HAL 9000.","Keir Dullea, Gary Lockwood, William Sylvester"
Lawrence da Arábia,1962,8.3,https://www.imdb.com/pt/title/tt0056172/?ref_=chttp_i_100,N/A,"A história de T. E. Lawrence, o oficial inglês que conseguiu unir e liderar várias tribos árabes, durante a Primeira Guerra Mundial para lutar contra os turcos.","Peter O'Toole, Alec Guinness, Anthony Quinn"
Cães de Aluguel,1992,8.3,https://www.imdb.com/pt/title/tt0105236/?ref_=chttp_i_101,N/A,"Quando um simples roubo de jóias dá errado, os criminosos sobreviventes começam a suspeitar que um deles é um informante da polícia.","Harvey Keitel, Tim Roth, Michael Madsen"
Scarface,1983,8.3,https://www.imdb.com/pt/title/tt0086250/?ref_=chttp_i_102,N/A,"Em 1980, um imigrante cubano se torna o maior traficante de cocaína de Miami.","Al Pacino, Michelle Pfeiffer, Steven Bauer"
Fogo Contra Fogo,1995,8.3,https://www.imdb.com/pt/title/tt0113277/?ref_=chttp_i_103,N/A,Um grupo de ladrões de banco suspeitam que a polícia estejam atrás deles quando deixam uma pista no seu último roubo.,"Al Pacino, Robert De Niro, Val Kilmer"
Pacto de Sangue,1944,8.3,https://www.imdb.com/pt/title/tt0036775/?ref_=chttp_i_104,N/A,"Um agente de seguros se deixa convencer de um esquema de assassinato e fraude, o que desperta a suspeita de um investigador.","Fred MacMurray, Barbara Stanwyck, Edward G. Robinson"
Intriga Internacional,1959,8.3,https://www.imdb.com/pt/title/tt0053125/?ref_=chttp_i_105,N/A,Um executivo de publicidade de Nova Iorque tem que fugir quando é confundido por um agente de governo.,"Cary Grant, Eva Marie Saint, James Mason"
Up: Altas Aventuras,2009,8.3,https://www.imdb.com/pt/title/tt1049413/?ref_=chttp_i_106,N/A,"Carl Fredricksen, de 78 anos, viaja para a América do Sul com sua casa, inadvertidamente levando um menino com ele.","Edward Asner, Jordan Nagai, John Ratzenberger"
"M, o Vampiro de Dusseldorf",1931,8.3,https://www.imdb.com/pt/title/tt0022100/?ref_=chttp_i_107,N/A,"Quando a polícia de uma cidade alemã não consegue encontrar um assassino de crianças, outros criminosos decidem ajudar na caçada humana.","Peter Lorre, Ellen Widmann, Inge Landgut"
Cidadão Kane,1941,8.3,https://www.imdb.com/pt/title/tt0033467/?ref_=chttp_i_108,N/A,"Após a morte de um magnata na indústria editorial, jornalistas correm para descobrir o significado da última palavra que ele pronunciou.","Orson Welles, Joseph Cotten, Dorothy Comingore"
Nascido para Matar,1987,8.2,https://www.imdb.com/pt/title/tt0093058/?ref_=chttp_i_109,N/A,Um marinho dos Estados Unidos nota os deshumanizantes efeitos da guerra do Vietnã em seus colegas.,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio"
Um Corpo que Cai,1958,8.2,https://www.imdb.com/pt/title/tt0052357/?ref_=chttp_i_110,N/A,Um ex-policial luta contra seus demônios enquanto está obcecado por uma mulher bonita.,"James Stewart, Kim Novak, Barbara Bel Geddes"
O Fabuloso Destino de Amélie Poulain,2001,8.3,https://www.imdb.com/pt/title/tt0211915/?ref_=chttp_i_111,N/A,"Amélie é uma parisiense ingênua com seu próprio senso de justiça. Ela decide ajudar as pessoas ao seu redor e, no caminho, descobre o amor.","Audrey Tautou, Mathieu Kassovitz, Rufus"
Como Estrelas na Terra,2007,8.3,https://www.imdb.com/pt/title/tt0986264/?ref_=chttp_i_112,N/A,"Um garoto de oito anos é acusado de ser problemático e preguiçoso, até que o novo professor de arte tem a paciência e compaixão para descobrir o verdadeiro problema por trás de suas lutas na escola.","Darsheel Safary, Aamir Khan, Tisca Chopra"
A Separação,2011,8.3,https://www.imdb.com/pt/title/tt1832382/?ref_=chttp_i_113,N/A,"Um casal é confrontado com uma decisão difícil, melhorar a vida de seu filho mudando-se para outro país ou ficar no Irã e cuidar de um pai que se deteriora e com Alzheimer.","Payman Maadi, Leila Hatami, Sareh Bayat"
O Sol é para Todos,1962,8.3,https://www.imdb.com/pt/title/tt0056592/?ref_=chttp_i_114,N/A,"Atticus Finch, um advogado no sul da era da Depressão, defende um homem negro contra uma acusação de estupro imerecida, e seus filhos contra o preconceito.","Gregory Peck, John Megna, Frank Overton"
Duro de Matar,1988,8.2,https://www.imdb.com/pt/title/tt0095016/?ref_=chttp_i_115,N/A,"John McClane, agente do departamento de polícia de Nova York, tenta salvar sua esposa, Holly Gennaro, e outras pessoas que o terrorista alemão Hans Gruber tomou como reféns durante a festa de Natal no Nakatomi Plaza, em Los Angeles.","Bruce Willis, Alan Rickman, Bonnie Bedelia"
Indiana Jones e a Última Cruzada,1989,8.2,https://www.imdb.com/pt/title/tt0097576/?ref_=chttp_i_116,N/A,"Em 1938, depois que seu pai, o professor Henry Jones, desaparece enquanto persegue o Santo Graal, o professor Henry ""Indiana"" Jones, Jr. se encontra contra os nazistas de Adolf Hitler.","Harrison Ford, Sean Connery, Alison Doody"
Golpe de Mestre,1973,8.2,https://www.imdb.com/pt/title/tt0070735/?ref_=chttp_i_117,N/A,Dois golpistas se reúnem para obter o melhor golpe.,"Paul Newman, Robert Redford, Robert Shaw"
Laranja Mecânica,1971,8.2,https://www.imdb.com/pt/title/tt0066921/?ref_=chttp_i_118,N/A,"No futuro, um jovem líder de gang é levado para prisão e decide ser voluntário em um experimento, mas os resultados não são os esperados.","Malcolm McDowell, Patrick Magee, Michael Bates"
Metrópolis,1927,8.3,https://www.imdb.com/pt/title/tt0017136/?ref_=chttp_i_119,N/A,"Numa cidade futurística dividida entre os trabalhadores e os planejadores, o filho do maior planejador se apaixona por uma trabalhadora.","Brigitte Helm, Alfred Abel, Gustav Fröhlich"
Oppenheimer,2023,8.3,https://www.imdb.com/pt/title/tt15398776/?ref_=chttp_i_120,N/A,A história do cientista americano J. Robert Oppenheimer e seu papel no desenvolvimento da bomba atômica.,"Cillian Murphy, Emily Blunt, Matt Damon"
Snatch - Porcos e Diamantes,2000,8.2,https://www.imdb.com/pt/title/tt0208092/?ref_=chttp_i_121,N/A,"Um ladrão amante dos jogos reúne gângsteres desprezíveis, um grupo de nômades irlandeses e uma fazenda de porcos em meio a chantagens, fraudes, boxeadores, um cão faminto e um grande diamante.","Jason Statham, Brad Pitt, Stephen Graham"
1917,2019,8.2,https://www.imdb.com/pt/title/tt8579674/?ref_=chttp_i_122,N/A,"Na Primeira Guerra Mundial, dois soldados britânicos recebem ordens aparentemente impossíveis de cumprir. Em uma corrida contra o tempo, eles precisam atravessar o território inimigo e entregar uma mensagem que pode salvar 1.600 homens.","Dean-Charles Chapman, George MacKay, Daniel Mays"
Hababam Sinifi Sinifta Kaldi,1975,8.6,https://www.imdb.com/pt/title/tt0252488/?ref_=chttp_i_123,N/A,A young and beautiful female teacher starts working in an all boys high school.,"Münir Özkul, Tarik Akan, Kemal Sunal"
Los Angeles: Cidade Proibida,1997,8.2,https://www.imdb.com/pt/title/tt0119488/?ref_=chttp_i_124,N/A,A corrupção cresce em Los Angeles nos anos 50. Três policiais estão investigando uma série de assassinatos com sua própria marca de justiça.,"Kevin Spacey, Russell Crowe, Guy Pearce"
Ladrões de Bicicletas,1948,8.2,https://www.imdb.com/pt/title/tt0040522/?ref_=chttp_i_125,N/A,Na Itália da pós-guerra a bicicleta de um homem da classe trabalhadora é roubada. Ele e o filho partiram para encontrá-la.,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell"
A Queda! As Últimas Horas de Hitler,2004,8.2,https://www.imdb.com/pt/title/tt0363163/?ref_=chttp_i_126,N/A,O último secretário de Hitler relata seus últimos dias em seu bunker de Berlim no final da Segunda Guerra Mundial.,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes"
Dangal,2016,8.3,https://www.imdb.com/pt/title/tt5074352/?ref_=chttp_i_127,N/A,O lutador Mahavir e suas filhas lutadoras procuram a gloria contra a opressão social nos jogos do Commonwealth.,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh"
O Lobo de Wall Street,2013,8.2,https://www.imdb.com/pt/title/tt0993846/?ref_=chttp_i_128,N/A,"Baseada na verdadeira história de Jordan Belfort, desde sua ascensão como corretor de valores até a sua queda e envolvimento no crime e corrupção com o governo.","Leonardo DiCaprio, Jonah Hill, Margot Robbie"
Hamilton,2020,8.3,https://www.imdb.com/pt/title/tt8503618/?ref_=chttp_i_129,N/A,"A vida de um dos maiores fundadores e primeiro secretário do Tesouro da América, Alexander Hamilton.","Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr."
Green Book: O Guia,2018,8.2,https://www.imdb.com/pt/title/tt6966692/?ref_=chttp_i_130,N/A,Um valentão ítalo-americano se torna o motorista de um pianista afro-americano em um tour no sul dos Estados Unidos nos anos sessenta.,"Viggo Mortensen, Mahershala Ali, Linda Cardellini"
O Show de Truman: O Show da Vida,1998,8.2,https://www.imdb.com/pt/title/tt0120382/?ref_=chttp_i_131,N/A,Um vendedor de seguros descobre que sua vida é um programa de televisão.,"Jim Carrey, Ed Harris, Laura Linney"
Taxi Driver: Motorista de Táxi,1976,8.2,https://www.imdb.com/pt/title/tt0075314/?ref_=chttp_i_132,N/A,"Um veterano de guerra mentalmente instável trabalha à noite como taxista na cidade de Nova York, onde a decadência e o desprezo alimentam seu desejo de ação violenta.","Robert De Niro, Jodie Foster, Cybill Shepherd"
Batman Begins,2005,8.2,https://www.imdb.com/pt/title/tt0372784/?ref_=chttp_i_133,N/A,"Após testemunhar a morte dos pais, o bilionário Bruce Wayne aprende a arte de lutar para confrontar a injustiça. Quando ele retorna a Gotham como Batman, ele deve deter uma sociedade secreta que pretende destruir a cidade.","Christian Bale, Michael Caine, Ken Watanabe"
Por uns Dólares a Mais,1965,8.2,https://www.imdb.com/pt/title/tt0059578/?ref_=chttp_i_134,N/A,Dois caçadores de recompensas com as mesmas intenções se reúnem para encontrar um criminoso ocidental.,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè"
Julgamento em Nuremberg,1961,8.3,https://www.imdb.com/pt/title/tt0055031/?ref_=chttp_i_135,N/A,"Em 1948, um tribunal dos Estados Unidos na Alemanha ocupada julga quatro nazistas por crimes de guerra.","Spencer Tracy, Burt Lancaster, Richard Widmark"
Ilha do Medo,2010,8.2,https://www.imdb.com/pt/title/tt1130884/?ref_=chttp_i_136,N/A,"Em 1954, um policial federal dos Estados Unidos investiga o desaparecimento de um assassino que escapou de um hospital psiquiátrico.","Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo"
Quanto Mais Quente Melhor,1959,8.2,https://www.imdb.com/pt/title/tt0053291/?ref_=chttp_i_137,N/A,"Dos músicos son testigos de un crimen y se dan a la fuga disfrazados de mujeres en una banda femenina, pero las cosas se complican.","Marilyn Monroe, Tony Curtis, Jack Lemmon"
Jurassic Park: O Parque dos Dinossauros,1993,8.2,https://www.imdb.com/pt/title/tt0107290/?ref_=chttp_i_138,N/A,"Um milionário traz à vida dinossauros extintos há milhares de anos, criando um imenso parque. Mas os gigantes pré-históricos começam a ameaçar a vida dos visitantes.","Sam Neill, Laura Dern, Jeff Goldblum"
O Garoto,1921,8.2,https://www.imdb.com/pt/title/tt0012349/?ref_=chttp_i_139,N/A,"Um mendigo cuida de uma criança abandonada, mas os eventos ameaçam esse relacionamento.","Charles Chaplin, Edna Purviance, Jackie Coogan"
Meu Pai,2020,8.2,https://www.imdb.com/pt/title/tt10272386/?ref_=chttp_i_140,N/A,"Um homem recusa toda a ajuda de sua filha à medida que envelhece. Enquanto ele tenta entender o que está acontecendo ao seu redor, ele começa a duvidar dos seus entes queridos, da sua mente e até mesmo da estrutura de sua realidade.","Anthony Hopkins, Olivia Colman, Mark Gatiss"
A Malvada,1950,8.2,https://www.imdb.com/pt/title/tt0042192/?ref_=chttp_i_141,N/A,"Uma ingênua se insinua na vida de uma atriz de teatro, e de seu círculo de amigas de teatro.","Bette Davis, Anne Baxter, George Sanders"
Sangue Negro,2007,8.2,https://www.imdb.com/pt/title/tt0469494/?ref_=chttp_i_142,N/A,"Uma história sobre familia, religião, ódio e loucura, centrada na vida de um explorador de petróleo nos primeiros anos do negócio.","Daniel Day-Lewis, Paul Dano, Ciarán Hinds"
O Sexto Sentido,1999,8.2,https://www.imdb.com/pt/title/tt0167404/?ref_=chttp_i_143,N/A,Um menino que consegue se comunicar com espíritos encontra ajuda de um psicólogo.,"Bruce Willis, Haley Joel Osment, Toni Collette"
Ran,1985,8.2,https://www.imdb.com/pt/title/tt0089881/?ref_=chttp_i_144,N/A,"No Japão medieval, um senhor feudal decide abdicar e entregar seus domínios aos seus três filhos. Mas ele não é capaz de ver que esses novos poderes irão corrompê-los e levá-los a enfrentar um ao outro, e contra ele.","Tatsuya Nakadai, Akira Terao, Jinpachi Nezu"
Cassino,1995,8.2,https://www.imdb.com/pt/title/tt0112641/?ref_=chttp_i_145,N/A,"Uma história de ganância, dinheiro e assassinato acontece entre dois melhores amigos: um mafioso e um executivo de cassino, que competem uns com os outros por um império de jogo e pelo amor de uma socialite.","Robert De Niro, Sharon Stone, Joe Pesci"
Top Gun: Maverick,2022,8.2,https://www.imdb.com/pt/title/tt1745960/?ref_=chttp_i_146,N/A,"Após mais de trinta anos de serviço como um dos melhores aviadores da Marinha, Pete Mitchell está onde pertence, ultrapassando os limites como um piloto de teste intrépido e evitando a promoção de posto que o manteria em terra.","Tom Cruise, Jennifer Connelly, Miles Teller"
Onde os Fracos Não Têm Vez,2007,8.2,https://www.imdb.com/pt/title/tt0477348/?ref_=chttp_i_147,N/A,Violência e caos surgem quando um caçador se depara com uma negociação de drogas que deu errado e mais de dois milhões de dólares perto do Rio Grande.,"Tommy Lee Jones, Javier Bardem, Josh Brolin"
O Enigma de Outro Mundo,1982,8.2,https://www.imdb.com/pt/title/tt0084787/?ref_=chttp_i_148,N/A,Uma equipe de pesquisa na Antártica é caçada por um alienígena que muda de forma e assume a aparência de suas vítimas.,"Kurt Russell, Wilford Brimley, Keith David"
Os Imperdoáveis,1992,8.2,https://www.imdb.com/pt/title/tt0105695/?ref_=chttp_i_149,N/A,"O atirador do Velho Oeste, William Munny, relutantemente aceita um último trabalho com a ajuda de seu antigo amigo e um jovem.","Clint Eastwood, Gene Hackman, Morgan Freeman"
O Labirinto do Fauno,2006,8.2,https://www.imdb.com/pt/title/tt0457430/?ref_=chttp_i_150,N/A,"Na Espanha de 1944, a filha dum oficial do exército escapa a um mundo de fantasia.","Ivana Baquero, Ariadna Gil, Sergi López"
Kill Bill: Volume 1,2003,8.2,https://www.imdb.com/pt/title/tt0266697/?ref_=chttp_i_151,N/A,"Depois de despertar de um coma de quatro anos, uma antiga assassina busca vingança contra o grupo de assassinos que a traiu.","Uma Thurman, David Carradine, Daryl Hannah"
Uma Mente Brilhante,2001,8.2,https://www.imdb.com/pt/title/tt0268978/?ref_=chttp_i_152,N/A,A vida do brilhante mas insociável matemático John Nash muda quando ele aceita um trabalho secreto em criptografia.,"Russell Crowe, Ed Harris, Jennifer Connelly"
Os Suspeitos,2013,8.2,https://www.imdb.com/pt/title/tt1392214/?ref_=chttp_i_153,N/A,"Quando a filha de Keller Dover e sua amiguinha desaparecem, ele decide investigar o caso por sua conta enquanto a polícia segue múltiplas pistas e a pressão para resolver o caso aumenta.","Hugh Jackman, Jake Gyllenhaal, Viola Davis"
O Tesouro da Sierra Madre,1948,8.2,https://www.imdb.com/pt/title/tt0040897/?ref_=chttp_i_154,N/A,Dois americanos em busca de trabalho no México convencem um homem a ajudá-los a extrair ouro nas montanhas da Serra Madre.,"Humphrey Bogart, Walter Huston, Tim Holt"
"Yojimbo, o Guarda-Costas",1961,8.2,https://www.imdb.com/pt/title/tt0055630/?ref_=chttp_i_155,N/A,Um astuto ronin chega a uma cidade dividida por duas quadrilhas criminosas e decide se confrontar para libertar a cidade.,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai"
Procurando Nemo,2003,8.2,https://www.imdb.com/pt/title/tt0266543/?ref_=chttp_i_156,N/A,"Quando seu filho é capturado, um peixe-palhaço tímido embarca em uma viagem para trazê-lo para casa.","Albert Brooks, Ellen DeGeneres, Alexander Gould"
O Castelo Animado,2004,8.2,https://www.imdb.com/pt/title/tt0347149/?ref_=chttp_i_157,N/A,Uma jovem sem autoconfiança é amaldiçoada com um corpo envelhecido por uma bruxa odiosa. Sua única chance de quebrar o feitiço é um jovem feiticeiro em um castelo itinerante.,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin"
O Melhor da Juventude,2003,8.4,https://www.imdb.com/pt/title/tt0346336/?ref_=chttp_i_158,N/A,"Um épico italiano que segue a vida de dois irmãos, das décadas de 1960 a 2000.","Luigi Lo Cascio, Alessio Boni, Jasmine Trinca"
Fugindo do Inferno,1963,8.2,https://www.imdb.com/pt/title/tt0057115/?ref_=chttp_i_159,N/A,Prisioneiros de guerra aliados planejam uma fuga maciça de um campo alemão durante a Segunda Guerra Mundial.,"Steve McQueen, James Garner, Richard Attenborough"
Monty Python em Busca do Cálice Sagrado,1975,8.2,https://www.imdb.com/pt/title/tt0071853/?ref_=chttp_i_160,N/A,"O Rei Arthur e seus Cavaleiros da Távola Redonda embarcam em uma busca surrealista e de baixo orçamento pelo Santo Graal, encontrando múltiplos obstáculos estúpidos.","Graham Chapman, John Cleese, Eric Idle"
O Homem Elefante,1980,8.2,https://www.imdb.com/pt/title/tt0080678/?ref_=chttp_i_161,N/A,"Um cirurgião vitoriano resgata um homem gravemente desfigurado que é maltratado enquanto tenta sobreviver como uma atração de circo. Por trás de sua aparência monstruosa, revela-se uma pessoa de bondade, inteligência e sofisticação.","Anthony Hopkins, John Hurt, Anne Bancroft"
Klaus,2019,8.2,https://www.imdb.com/pt/title/tt4729430/?ref_=chttp_i_162,N/A,"Um simples ato de bondade sempre provoca outro, mesmo em um lugar gelado e distante. Quando o novo carteiro de Smeerensburg faz amizade com o fabricante de brinquedos Klaus, seus presentes derreteram uma antiga inimizade.","Jason Schwartzman, J.K. Simmons, Rashida Jones"
Disque M para Matar,1954,8.2,https://www.imdb.com/pt/title/tt0046912/?ref_=chttp_i_163,N/A,"Um ex-tenista decide matar a esposa para herdar o dinheiro dela e se vingar de um caso que ela havia tido. A fim de se livrar de culpas, usa um antigo colega de faculdade. Mas as coisas não vão correr como estava planeado.","Ray Milland, Grace Kelly, Robert Cummings"
...E o Vento Levou,1939,8.2,https://www.imdb.com/pt/title/tt0031381/?ref_=chttp_i_164,N/A,Uma jovem sulista e manipuladora e um aventureiro oportunista se enfrentam em um romance turbulento enquanto a sociedade ao seu redor desmorona com o fim da escravidão e é reconstruída durante os períodos da Guerra Civil e da Reconstrução.,"Clark Gable, Vivien Leigh, Thomas Mitchell"
O Segredo dos Seus Olhos,2009,8.2,https://www.imdb.com/pt/title/tt1305806/?ref_=chttp_i_165,N/A,"Um assessor jurídico aposentado escreve um romance com a esperança de fechar um de seus antigos casos de homicídio, que permanece sem solução, e superar o amor não correspondido que sentia por seu chefe. Décadas depois, ambas as memórias continuam a persegui-lo.","Ricardo Darín, Soledad Villamil, Pablo Rago"
Chinatown,1974,8.1,https://www.imdb.com/pt/title/tt0071315/?ref_=chttp_i_166,N/A,"Um detetive particular contratado para desmascarar um adúltero é pego em uma teia de fraude, corrupção e assassinato.","Jack Nicholson, Faye Dunaway, John Huston"
"Jogos, Trapaças e Dois Canos Fumegantes",1998,8.1,https://www.imdb.com/pt/title/tt0120735/?ref_=chttp_i_167,N/A,"Um jogo de cartas em Londres desencadeia um confronto entre quatro amigos, plantadores de maconha, agiotas e cobradores de dívidas em uma série de eventos curiosos, tudo por algo de maria, dinheiro e duas pistolas antigas.","Jason Flemyng, Dexter Fletcher, Nick Moran"
Rashomon,1950,8.1,https://www.imdb.com/pt/title/tt0042876/?ref_=chttp_i_168,N/A,"A violação de uma noiva e o assassinato de seu marido samurai são lembrados desde a perspectiva de um bandido, da noiva, do fantasma do samurai e de um lenhador.","Toshirô Mifune, Machiko Kyô, Masayuki Mori"
V de Vingança,2005,8.1,https://www.imdb.com/pt/title/tt0434409/?ref_=chttp_i_169,N/A,"Em um futuro da tirania britânica, um lutador clandestino conhecido como V trama um plano para derrubá-la com a ajuda de uma jovem mulher.","Hugo Weaving, Natalie Portman, Rupert Graves"
Divertida Mente,2015,8.1,https://www.imdb.com/pt/title/tt2096673/?ref_=chttp_i_170,N/A,"Depois que a jovem Riley é arrancada de sua vida no Centro-Oeste e se muda para São Francisco, suas emoções - Alegria, Medo, Raiva, Nojinho e Tristeza - entram em conflito sobre a melhor forma de navegar em uma nova cidade, casa e escola.","Amy Poehler, Bill Hader, Lewis Black"
Três Anúncios para um Crime,2017,8.1,https://www.imdb.com/pt/title/tt5027774/?ref_=chttp_i_171,N/A,Uma mãe desafia pessoalmente as autoridades locais para resolver o assassinato de sua filha.,"Frances McDormand, Woody Harrelson, Sam Rockwell"
Prenda-Me se for Capaz,2002,8.1,https://www.imdb.com/pt/title/tt0264464/?ref_=chttp_i_172,N/A,"Um agente do FBI persegue Frank Abagnale, que antes de seus 19 anos consegue ganhar milhões de dólares fingindo ser um piloto, um médico e um advogado.","Leonardo DiCaprio, Tom Hanks, Christopher Walken"
Trainspotting: Sem Limites,1996,8.1,https://www.imdb.com/pt/title/tt0117951/?ref_=chttp_i_173,N/A,"Renton, profundamente imerso no mundo das drogas em Edimburgo, tenta sair do ambiente apesar da má influência dos amigos.","Ewan McGregor, Ewen Bremner, Jonny Lee Miller"
A Ponte do Rio Kwai,1957,8.1,https://www.imdb.com/pt/title/tt0050212/?ref_=chttp_i_174,N/A,"Depois de resolver suas diferenças com um japonês, o comandante do campo, um coronel britânico, coopera para supervisionar a construção de uma ponte ferroviária.","William Holden, Alec Guinness, Jack Hawkins"
Touro Indomável,1980,8.1,https://www.imdb.com/pt/title/tt0081398/?ref_=chttp_i_175,N/A,"A vida do boxeador Jake LaMotta, cuja violência e temperamento que o levaram até o topo dos ringues destruíram a sua vida fora deles.","Robert De Niro, Cathy Moriarty, Joe Pesci"
Robô Selvagem,2024,8.2,https://www.imdb.com/pt/title/tt29623480/?ref_=chttp_i_176,N/A,"Após um naufrágio, um robô inteligente chamado Roz fica preso em uma ilha desabitada. Para sobreviver ao ambiente hostil, Roz se une aos animais da ilha e cuida de um ganso bebê órfão.","Lupita Nyong'o, Pedro Pascal, Kit Connor"
Harry Potter e as Relíquias da Morte - Parte 2,2011,8.1,https://www.imdb.com/pt/title/tt1201607/?ref_=chttp_i_177,N/A,"Conforme a batalha entre as forças do bem e do mal no mundo bruxo aumenta de proporções, Harry Potter se aproxima cada vez mais do confronto final com Voldemort.","Daniel Radcliffe, Emma Watson, Rupert Grint"
Fargo: Uma Comédia de Erros,1996,8.1,https://www.imdb.com/pt/title/tt0116282/?ref_=chttp_i_178,N/A,O crime de Jerry Lundegaard se desfaz devido à falta de sorte dele e de seus colegas e ao persistente trabalho polícia.,"William H. Macy, Frances McDormand, Steve Buscemi"
Guerreiro,2011,8.1,https://www.imdb.com/pt/title/tt1291584/?ref_=chttp_i_179,N/A,"O filho pequeno de um exboxer alcoólatra volta para casa, onde seu pai o treina para um torneio de artes marciais mistas.","Tom Hardy, Nick Nolte, Joel Edgerton"
Menina de Ouro,2004,8.1,https://www.imdb.com/pt/title/tt0405159/?ref_=chttp_i_180,N/A,Uma mulher determinada se prepara para se tornar numa pugilista profissional.,"Hilary Swank, Clint Eastwood, Morgan Freeman"
Gran Torino,2008,8.1,https://www.imdb.com/pt/title/tt1205489/?ref_=chttp_i_181,N/A,"Walt Kowalski, um ranzinza veterano da guerra da Coreia, tenta dar uma lição em seu vizinho quando este tentar roubar seu bem mais precioso: um Gran Torino de 1972.","Clint Eastwood, Bee Vang, Christopher Carley"
Ben-Hur,1959,8.1,https://www.imdb.com/pt/title/tt0052618/?ref_=chttp_i_182,N/A,"Quando um príncipe de Jerusalém é traído e enviado à escravidão por um amigo romano, ele recupera sua liberdade e retorna para se vingar.","Charlton Heston, Jack Hawkins, Stephen Boyd"
Sociedade dos Poetas Mortos,1989,8.1,https://www.imdb.com/pt/title/tt0097165/?ref_=chttp_i_183,N/A,O professor de Inglés John Keating inspira a seus estudantes a ver a poesia duma perspectiva diferente.,"Robin Williams, Robert Sean Leonard, Ethan Hawke"
Mad Max: Estrada da Fúria,2015,8.1,https://www.imdb.com/pt/title/tt1392190/?ref_=chttp_i_184,N/A,"Em um mundo pós-apocalíptico, uma mulher se rebela contra um governante tirânico em busca de sua terra natal com a ajuda de um grupo de prisioneiras, um adorador psicótico e um nômade chamado Max.","Tom Hardy, Charlize Theron, Nicholas Hoult"
Barry Lyndon,1975,8.1,https://www.imdb.com/pt/title/tt0072684/?ref_=chttp_i_185,N/A,Um irlandês conquista o coração de uma viúva rica e assume a posição aristocrática de seu falecido marido na Inglaterra do século XVIII.,"Ryan O'Neal, Marisa Berenson, Patrick Magee"
Meu Amigo Totoro,1988,8.1,https://www.imdb.com/pt/title/tt0096283/?ref_=chttp_i_186,N/A,"Quando duas meninas se mudam para o campo para ficar perto de sua mãe doente, elas têm aventuras com os maravilhosos espíritos da floresta que moram nas proximidades.","Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto"
Filhos do Paraíso,1997,8.2,https://www.imdb.com/pt/title/tt0118849/?ref_=chttp_i_187,N/A,"Depois que uma criança perde o par de sapatos de sua irmã, ele embarca em uma série de aventuras para encontrá-los. Quando não consegue, ele tenta uma nova maneira de procurá-los.","Reza Naji, Amir Farrokh Hashemian, Bahare Seddiqi"
Até o Último Homem,2016,8.1,https://www.imdb.com/pt/title/tt2119532/?ref_=chttp_i_188,N/A,"O médico amaericano da Segunda Guerra Mundial, Desmond T. Doss, se recusa a matar pessoas e se torna o primeiro homem na história dos Estados Unidos a receber a Medalha de Honra sem atirar um tiro.","Andrew Garfield, Sam Worthington, Luke Bracey"
O Grande Hotel Budapeste,2014,8.1,https://www.imdb.com/pt/title/tt2278388/?ref_=chttp_i_189,N/A,"As aventuras de Gustave H, um lendário porteiro dum famoso hotel da ficcional República de Zubrowka entre a primeira y a segunda guerra mundial.","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric"
12 Anos de Escravidão,2013,8.1,https://www.imdb.com/pt/title/tt2024544/?ref_=chttp_i_190,N/A,"Solomon Northup, um homem preto livre de Nova Iorque, é raptado e vendido como escravo.","Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender"
